詞彙,漢語拼音,詞類
厲害,lìhài ,(VS)
立刻,lìkè ,(Adv)
例如,lìrú ,(Prep)
例子,lìzi ,(N)
利益,lìyì ,(N)
利用,lìyòng ,(VA)
連,lián ,(Conj)
連,lián ,(VS)
連/聯絡,liánluò ,(VA)
連續劇,liánxùjù ,(N)
練,liàn ,(VA)
戀愛,liànài ,(VS)
涼,liáng,(VS)
良好,liánghăo ,(VS)
亮,liàng,(VS)
聊,liáo ,(VA)
了不起,liăobùqĭ,(VS)
靈魂,línghún ,(N)
零錢,língqián ,(N)
零用錢,língyòngqián ,(N)
領,lǐng ,(VA)
領導,lĭngdăo ,(VA)
領域,lĭngyù ,(N)
令,lìng ,(VS)
流,liú ,(VA)
流汗,liúhàn ,(VA)
流血,liúxiě ,(VA)
留學,liúxué ,(VA)
留學生,liúxuéshēng ,(N)
龍,lóng ,(N)
錄,lù ,(VA)
錄取,lùqŭ  ,(VA)
錄音,lùyīn ,(VA)
露營,lùyíng  ,(VA)
亂,luàn,(VS)
輪胎,lúntāi ,(N)
旅客,lǚkè ,(N)
綠,lǜ,(VS)
律師,lǜshī ,(N)
麻煩,máfán,(VS)
馬桶,mătŏng ,(N)
碼頭,mătou ,(N)
螞蟻,măyĭ,(N)
罵,mà ,(VA)
嘛,ma ,(P)
滿,măn ,(Det)
滿,măn ,(VS)
滿足,mănzú  ,(VS)
慢慢,mànmàn,(VS)
慢跑,mànpăo ,(VA)
慢用,mànyòng ,(VA)
毛,máo ,(N)
毛病,máobìng ,(N)
貿易,màoyì ,(N)
沒,méi,(P)
沒,méi,(VS)
沒什麼,méishénme ,(VS)
沒想到,méixiăngdào ,(Adv)
玫瑰(ㄍㄨㄟ˙),méigui ,(N)
每,měi ,(Adv)
美好,měihăo ,(VS)
門,mén ,(M)
夢,mèng ,(N)
迷路,mílù ,(VS)
迷人,mírén ,(VS)
米飯,mǐfàn ,(N)
米粉,mĭfěn ,(N)
秘/祕密,mìmì ,(N)
密切,mìqiè ,(VS)
免費,miănfèi ,(VS)
面,miàn ,(M)
面,miàn ,(N)
面積,miànjī ,(N)
面前,miànqián ,(N)
麵條,miàntiáo ,(N)
描寫,miáoxiě ,(VA)
秒,miǎo ,(M)
廟,miào ,(N)
民國,mínguó ,(N)
民族,mínzú ,(N)
名,míng ,(M)
名詞,míngcí ,(N)
明白,míngbái ,(VS)
明顯,míngxiăn ,(VS)
明星,míngxīng ,(N)
命,mìng ,(N)
摸,mō ,(VA)
摩托車/機車,mótuōchē/jīchē,(N)
陌生,mòshēng ,(VS)
某,mŏu,(Det)
木,mù ,(N)
木頭,mùtou,(N)
目的,mùdì ,(N)
目前,mùqián ,(N)
拿手,náshŏu ,(VS)
哪兒,nǎér,(N)
哪裏,nǎlǐ,(N)
哪裏/哪裏兒,nǎlǐ/nǎlǐr,(Adv)
哪些,nǎxiē ,(Det)
那,nà,(Conj)
那裏,nàlǐ,(N)
那麼,nàme,(Conj)
那樣,nàyàng,(Adv)
那樣,nàyàng,(VS)
哪,na,(P)
奶,nǎi ,(N)
奶茶,nǎichá ,(N)
耐心,nàixīn ,(N)
南方,nánfāng ,(N)
難怪,nánguài ,(Adv)
難看,nánkàn ,(VS)
腦,năo ,(N)
腦子,năozi ,(N)
鬧鐘,nàozhōng ,(N)
內,nèi ,(N)
內容,nèiróng ,(N)
能,néng ,(VS)
能夠,nénggòu ,(Adv)
能力,nénglì ,(N)
年,nián ,(N)
年代,niándài ,(N)
年齡,niánlíng ,(N)
年年,niánnián ,(Adv)
念書,niànshū ,(VA)
農業,nóngyè  ,(N)
女士,nǚshì ,(N)
喔,ō ,(P)
哦,ó ,(P)
噢,òu ,(P)
拍,pāi ,(VA)
